 round 25 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 26 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 27 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 28 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 29 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 30 : target (178,45) 40.0 ; plane (127,127) 2 ; prop (170,125) 2 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 31 : target (178,45) 39.6 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 199.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 199.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 32 : target (178,45) 39.2 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 198.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 198.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 33 : target (178,45) 38.8 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 197.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 197.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 34 : target (178,45) 38.4 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 196.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 196.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
